#combination,result
3d glasses+printer,3d printer
cat+mouse,ferret
cat+nose,skunk
cat+opposite,dog
cat+plant,catnip
cat+rat,ferret
cat+sandbox,litter box
cat+scissors,hair
cat+shark,catshark
cat+statue,sphinx
cat+tooth,saber-toothed tiger
cat+tree,jaguar
cat+wallaby,opossum
cat+water,cat bowl
cat+zebra,tiger
catamaran+human,sailor
caterpillar+air,butterfly
caterpillar+ant,centipede
caterpillar+big,butterfly
caterpillar+bird,butterfly
caterpillar+elderly,butterfly
caterpillar+fly,butterfly
caterpillar+time,butterfly
caterpillar+tree,cocoon
cauldron+human,witch
cauldron+rainbow,gold
cauldron+water,soup
cave+animal,bear
cave+cave,ravine
cave+fish,cavefish
cave+human,caveman
cave+minecart,mineshaft
cave+money,gem
cave+orange,gold
cave+tool,pickaxe
cave+yellow,gold
cell+brain,nucleus
cell+cell,organ
cell+devolution,bacteria
cell+earth,animal
cell+evil,cancer
cell+evolution,plankton
cell+fish,plankton
cell+water,plankton
cellphone+camera,smartphone
cellphone+cellphone,smartphone
cellphone+energy,smartphone
cellphone+idea,smartphone
cellphone+internet,smartphone
cellphone+jukebox,mp3 player
cellphone+keyboard,text
cellphone+knowledge,smartphone
cellphone+pen,text
cellphone+pencil,text
cellphone+picture,smartphone
cellphone+stick,selfie stick
cellphone+video,smartphone
cellphone+watch,smartwatch
cellphone+wheel,rotary phone
cellphone+wire,charging cord
cement+cement,concrete
cement+water,concrete
centipede+big,millipede
centipede+centipede,millipede
cereal+water,rice
chain+weapon,nunchucks
chainsaw+metal,woodchipper
chair+big,bench
chair+chair,bench
chair+feces,toilet
chair+grass,bench
chair+metal,toilet
chair+urine,toilet
chair+wheel,wheelchair
chair+wood,bench
chalk+wood,chalkboard
chalkboard+opposite,whiteboard
chalkboard+tool,chalk
chameleon+chameleon,egg
champagne+country,france
charcoal+boiler,steam engine
charcoal+country,england
charcoal+energy,fire
charcoal+fire,campfire
charcoal+iron,steel
charcoal+oil,plastic
chariot+knight,gladiator
chariot+metal,car
chariot+oil,car
chariot+steam engine,car
chariot+steel,car
cheese+animal,mouse
cheese+beef,cheeseburger
cheese+blade,cheese grater
cheese+bread,pizza
cheese+cake,cheesecake
cheese+candle,fondue
cheese+egg,cheesecake
cheese+fire,fondue
cheese+heat,fondue
cheese+metal,cheese grater
cheese+microwave,fondue
cheese+oil lamp,fondue
cheese+oven,fondue
cheese+pasta,mac and cheese
cheese+scissors,lasagna
cheese+soup,mac and cheese
cheese+steak,cheeseburger
cheese+sugar,cheesecake
cheese+time,mold
cheese+toast,grilled cheese
cheese+tomato,pizza
cheetah+human,cat
chef+alarm clock,egg timer
chef+book,cookbook
chef+clock,egg timer
chef+hourglass,egg timer
chef+soda,baking soda
chef+stopwatch,egg timer
cherry+earth,tree
cherry+soil,tree
chess piece+cardboard,chess board
chess piece+paper,chess board
chess piece+plastic,chess board
chest+magic,mimic
chest+stick,barrel
chicken nugget+human,feces
chicken+air,dove
chicken+baby,egg
chicken+bed,alarm clock
chicken+big,turkey
chicken+bird,dove
chicken+bone,chicken wing
chicken+brown,turkey
chicken+chicken,egg
chicken+corn,egg
chicken+dinosaur,dodo
chicken+dragon,cockatrice
chicken+evil,cockatrice
chicken+fire,chicken nugget
chicken+fish,dove
chicken+grain,egg
chicken+house,nest
chicken+hunter,feather
chicken+juice,bbq sauce
chicken+meat,turkey
chicken+ostrich,dodo
chicken+phoenix,cockatrice
chicken+pigeon,dove
chicken+seagull,dove
chicken+seed,egg
chicken+time,egg
chicken+tool,feather
chicken+water,soup
chicle+fire,bubblegum
chicle+heat,bubblegum
chihuahua+cheetah,civet
child+baby,family
child+big,teenager
child+blade,blood
child+bus,school bus
child+death,corpse
child+gold,prince
child+house,dollhouse
child+small,baby
child+time,teenager
chimney+metal,smokestack
chimpanzee+evolution,human
china+cake,moon cake
china+candle,chinese lantern
china+continent,asia
china+cookie,fortune cookie
china+dough,dumpling
china+dragon,chinese dragon
china+fire,chinese lantern
china+light,chinese lantern
china+lightbulb,chinese lantern
china+stick,chopstick
chinese dragon+evil,dragon
chip+bag,snack bag
chip+plastic,snack bag
chip+tomato sauce,enchilada
chipmunk+ice,lemming
chipmunk+snow,lemming
chisel+human,sculptor
chive+big,asparagus
chlorine+proton,argon
chocolate+animal,pinata
chocolate+blade,fudge
chocolate+blender,pudding
chocolate+bread,cookie
chocolate+donkey,pinata
chocolate+heat,pudding
chocolate+horse,pinata
chocolate+mule,pinata
chocolate+oven,brownies
chocolate+pie,whoopie pie
chocolate+rabbit,chocolate bunny
chocolate+small,chocolate chip
chocolate+stick,fudge-pop
chocolate+thread,pinata
chopstick+dough,dumpling
christmas tree+animal,reindeer
christmas tree+axe,wood
christmas tree+blade,leaf
christmas tree+book,bible
christmas tree+box,present
christmas tree+cane,candy cane
christmas tree+door,wreath
christmas tree+fire,ash
christmas tree+light,christmas lights
christmas tree+lightbulb,christmas lights
christmas tree+paper,wrapping paper
christmas tree+saw,wood
christmas tree+tool,wood
church+cloud,heaven
church+desert,mosque
church+house,heaven
church+opposite,mosque
church+universe,heaven
church+water,holy water
cigar+machine,e-cig
cigar+metal,e-cig
cigar+plant,tobacco
cigar+small,cigarette
cigar+steam,e-cig
cigar+water,e-cig
cigarette+big,cigar
cigarette+human,cancer
cigarette+machine,e-cig
cigarette+metal,e-cig
cigarette+plant,tobacco
cigarette+steam,e-cig
cigarette+water,e-cig
cinnabar+pickaxe,mercury
circus+bicycle,unicycle
circus+bird,parrot
circus+human,clown
city+baker,bakery
city+batter,bakery
city+big,country
city+bread,bakery
city+cake,bakery
city+car,taxi
city+city,country
city+country,state
city+donut,bakery
city+energy,electricity
city+house,city hall
city+human,tourist
city+insect,cockroach
city+sign,town sign
city+tsunami,ruins
city+water,venice
clam+blade,shell
clam+death,shell
clam+sand,mussel
clam+swamp,slug
clay+aluminum,bentonite
clay+ash,bentonite
clay+bonfire,pottery
clay+campfire,pottery
clay+fire,pottery
clay+furnace,pottery
clay+gravel,concrete
clay+heat,pottery
clay+human,golem
clay+life,golem
clay+limestone,cement
clay+oven,pottery
clay+volcano,bentonite
clay+wax,soap
cliff+cliff,canyon
cliff+flood,waterfall
cliff+human,death
cliff+lake,waterfall
cliff+ocean,waterfall
cliff+pond,waterfall
cliff+river,waterfall
cliff+sea,waterfall
cliff+water,waterfall
clock+arm,watch
clock+bed,alarm clock
clock+bell,alarm clock
clock+human,watch
clock+moon,alarm clock
clock+sand,hourglass
clock+small,watch
clock+sound,alarm clock
clock+table,alarm clock
cloner+animal,clone
cloner+human,clone
clothing+arm,shirt
clothing+box,wardrobe
clothing+gas mask,hazmat suit
clothing+leg,pants
clothing+machine,washing machine
clothing+metal,armor
clothing+money,tuxedo
clothing+police,bulletproof vest
clothing+soap,bleach
cloud+air,atmosphere
cloud+candy,cotton candy
cloud+carpet,flying carpet
cloud+cloud,hurricane
cloud+door,heaven
cloud+dust,sandstorm
cloud+electricity,lightning
cloud+energy,hurricane
cloud+field,heaven
cloud+grass,cotton
cloud+house,heaven
cloud+ice,hail
cloud+paper,kite
cloud+plane,blimp
cloud+planet,jupiter
cloud+plant,cotton
cloud+sand,sandstorm
cloud+sound,thunder
cloud+water,rain
cloud+wool,flying carpet
clown+bicycle,unicycle
clown+bird,parrot
clown+car,clown car
clown+fish,clownfish
clown+house,circus
clownfish+crystal ball,fishbowl
clownfish+fish,shark
clownfish+trout,shark
coal+boiler,steam engine
coal+country,england
coal+fire,campfire
coal+iron,steel
coal+oil,plastic
coal+pressure,diamond
coal+time,diamond
coal+wood,charcoal
cobalt+proton,nickel
cobblestone+cobblestone,furnace
cobra+eel,anaconda
cobra+human,lamia
cochineal+fire,red
cochineal+heat,red
cochineal+oven,red
cockroach+ant,spider
cockroach+snail,beetle
cocktail+house,bar
cocktail+human,alcoholic
cocoa+milk,chocolate
cocoa+water,coffee
coconut+blade,milk
coconut+knife,milk
coconut+plant,palm tree
coconut+pressure,milk
coconut+small,peanut
coconut+sword,milk
coconut+water,milk
cocoon+time,butterfly
coffee+alcohol,cocktail
coffee+bag,tea bag
coffee+electricity,coffeemaker
coffee+house,cafe
coffee+machine,coffeemaker
coffee+metal,coffeemaker
coffee+tool,coffeemaker
coffee+vodka,cocktail
coin+computer,cryptocurrency
coin+internet,cryptocurrency
cold+car,snowmobile
cold+clothing,scarf
cold+country,greenland
cold+earth,snow
cold+electricity,air conditioner
cold+elephant,mammoth
cold+machine,freezer
cold+sickness,hypothermia
cold+yogurt,frozen yogurt
college+college,university
color+air,white
color+ash,black
color+blackberry,purple
color+blood,red
color+blueberry,blue
color+brick,red
color+cactus,green
color+cherry,red
color+chocolate,brown
color+cochineal,red
color+coconut,brown
color+darkness,black
color+diamond,blue
color+earth,brown
color+explosion,firework
color+fire,orange
color+forest,green
color+glasses,3d glasses
color+grape,purple
color+grass,green
color+gunpowder,firework
color+lake,blue
color+lava,orange
color+leaf,green
color+lemon,yellow
color+light,white
color+lime,green
color+money,green
color+mushroom,white
color+ocean,blue
color+oil,black
color+paper,white
color+photon,white
color+pond,blue
color+potato,brown
color+puddle,blue
color+river,blue
color+rust,brown
color+salt,white
color+sand,yellow
color+sea,blue
color+snow,white
color+soap,ultraviolet
color+space,black
color+star,yellow
color+steam,blue
color+stick,brown
color+strawberry,red
color+sunflower,yellow
color+tree,fruit
color+water,blue
color+wood,brown
comet+big,meteor
comet+glass,telescope
comet+glasses,telescope
comet+rain,shooting star
comet+small,boulder
comet+star,shooting star
community+community,town
community+internet,website
compost+box,compost bin
compost+fern,lettuce
compost+grass,wheat
compost+seed,plant
computer virus+human,hacker
computer+big,television
computer+car,smart car
computer+computer virus,hacker
computer+computer,internet
computer+electric car,smart car
computer+human,nerd
computer+knowledge,internet
computer+mouse,computer mouse
computer+planet,internet
computer+plastic,keyboard
computer+sickness,computer virus
computer+small,laptop
computer+toy,video game
computer+universe,internet
computer+video game,gaming console
computer+video,television
concrete+air,cinder block
concrete+big,wall
concrete+clay,wall
concrete+concrete,road
concrete+fence,concrete barrier
concrete+road,asphalt
concrete+stone,wall
concrete+wall,house
confetti+candy,sprinkles
confetti+sugar,sprinkles
constellation+constellation,galaxy
continent+big,planet
continent+continent,planet
continent+desert,africa
continent+diamond,africa
continent+dune,africa
continent+gem,africa
continent+ice,antarctica
continent+map,globe
continent+ocean,planet
continent+opposite,island
continent+rice,asia
continent+sand,africa
continent+snow,antarctica
continent+tree,forest
cookbook+house,library
cookbook+human,chef
cookbook+wood,bookshelf
cookie dough+fire,cookie
cookie dough+heat,cookie
cookie dough+oven,cookie
cookie+box,cookie jar
cookie+house,gingerbread house
cookie+human,gingerbread man
cookie+magic,gingerbread man
cookie+plastic,cookie jar
copper+money,coin
copper+proton,zinc
copper+zinc,brass
coral reef+animal,coral
coral reef+plant,coral
coral+animal,sponge
coral+coral,coral reef
cork+tool,corkscrew
corn+barley,grain
corn+black,ground pepper
corn+fire,popcorn
corn+flour,cornflour
corn+heat,popcorn
corn+hotdog,corn dog
corn+meat,corn dog
corn+oven,popcorn
corn+star,popcorn
corn+vine,ground pepper
corn+wheat,grain
cornstarch+water,packing peanut
coronavirus+dna,rna
corpse+bandage,mummy
corpse+blade,flesh
corpse+desert,mummy
corpse+dune,mummy
corpse+earth,grave
corpse+egypt,mummy
corpse+electricity,frankenstein
corpse+fire,ash
corpse+house,crematorium
corpse+human,criminal
corpse+knife,flesh
corpse+legend,frankenstein
corpse+lightning,frankenstein
corpse+magic,zombie
corpse+paper,mummy
corpse+pyramid,mummy
corpse+sand,mummy
corpse+scientist,frankenstein
corpse+scythe,grim reaper
corpse+story,frankenstein
corpse+stuffed animal,taxidermy animal
corpse+tissue,mummy
corpse+toilet paper,mummy
corpse+vulture,bone
corpse+wolf,bone
corpse+wool,mummy
corpse+zombie,zombie
cotton+candy,cotton candy
cotton+cotton,cottonball
cotton+machine,clothing
cotton+string,thread
cotton+tool,fiber
country+anime,japan
country+archer,england
country+bear,russia
country+big,russia
country+bird,eagle
country+car,germany
country+cat,egypt
country+chinese dragon,china
country+continent,australia
country+country,continent
country+desert,egypt
country+dragon,china
country+eagle,america
country+energy,electricity
country+four leaf clover,ireland
country+human,president
country+katana,japan
country+kiwi,new zealand
country+leprechaun,ireland
country+manga,japan
country+maple syrup,canada
country+ninja,japan
country+nuke,north korea
country+oil,saudi arabia
country+paper,flag
country+pepper,chile
country+pilgrim,america
country+plastic,flag
country+pyramid,egypt
country+religion,india
country+rice,china
country+robot,japan
country+shuriken,japan
country+snow,greenland
country+state,america
country+statue of liberty,america
country+sushi,japan
country+tea,united kingdom
country+tree,canada
country+volcano,iceland
country+watch,switzerland
country+whale,japan
courthouse+hammer,gavel
courthouse+human,judge
cow+africa,buffalo
cow+animal,buffalo
cow+bbq,steak
cow+big,buffalo
cow+black,bull
cow+blade,leather
cow+brown,buffalo
cow+car,cattle car
cow+cold,buffalo
cow+cow,cow
cow+devolution,zebu
cow+energy,bull
cow+evil,bull
cow+fish,manatee
cow+grain,milk
cow+grass,milk
cow+hair,buffalo
cow+house,barn
cow+human,milk
cow+hunter,beef
cow+ice,buffalo
cow+knife,leather
cow+lake,hippopotamus
cow+meat,beef
cow+mountain,yak
cow+ocean,manatee
cow+pond,hippopotamus
cow+rope,lasso
cow+sea lion,manatee
cow+sea,manatee
cow+seal,manatee
cow+snow,buffalo
cow+swamp,hippopotamus
cow+sword,leather
cow+tool,milk
cow+walrus,manatee
cow+water,manatee
cowboy+gun,revolver
cowboy+shoe,boot
cowboy+tea,sweet tea
crab+apple,crabapple
crab+big,lobster
crab+boat,barnacle
crab+crab,lobster
crab+house,shell
crab+pirate ship,barnacle
crab+sailboat,barnacle
crab+ship,barnacle
crab+steamboat,barnacle
crab+weapon,crab pot
crab+whale,barnacle
cranberry+big,lingonberry
cranberry+cranberry,lingonberry
cranberry+plant,bush
crate+fire,ash
crate+metal,chest
cream+acid,sour cream
cream+bacteria,sour cream
cream+popsicle,creamsicle
cream+pressure,butter
cream+salt,butter
cream+time,sour cream
cream+tool,butter
cream+wheel,butter
credit card+house,bank
credit card+keyboard,atm
credit card+machine,atm
crematorium+animal,ash
crematorium+corpse,ash
crematorium+human,ash
criminal+bomb,terrorist
criminal+house,prison
criminal+human,police
criminal+magic,supervillain
criminal+nice,police
criminal+police car,prisoner
criminal+police,prisoner
criminal+superhero,supervillain
crocodile+dinosaur,raptor
crocodile+earth,dinosaur
crocodile+magic,godzilla
crocodile+opposite,alligator
cross+book,bible
crossbow+bird,meat
crossbow+bullet,gun
crossbow+fish,archerfish
crossbow+gunpowder,gun
crossbow+metal,gun
crossbow+police,gun
crossbow+steel,gun
crossbow+wood,arrow
crow+crow,egg
crow+gold,birdcage
crow+machine,plane
crow+metal,birdcage
crow+steel,birdcage
crystal ball+8 ball,magic 8 ball
crystal ball+human,fortune teller
crystal ball+toy,magic 8 ball
cuckoo+eagle,owl
cucumber+ocean,sea cucumber
cucumber+sea,sea cucumber
cucumber+small,asparagus
cucumber+water,pickle
cup+metal,can
cup+wine,wineglass
cupcake+oven,muffin
cupcake+wind,muffin
cupid+bird,dove
cupid+human,baby
dachshund+cheetah,civet
daisy+bird,hummingbird
dalmatian+cheetah,civet
dalmatian+house,fire station
dalmatian+human,firefighter
dandelion+big,sunflower
darkness+bird,crow
darkness+darkness,space
darkness+earth,hell
darkness+human,ninja
darkness+pressure,black hole
darkness+space,black hole
darkness+star,black hole
dart+frog,dart frog
dart+poison,blowdart
death+air,ghost
death+animal,corpse
death+demon,grim reaper
death+devil,grim reaper
death+evil,grim reaper
death+god,grim reaper
death+human,corpse
death+immortality,ghost
death+magic,zombie
death+opposite,life
death+scythe,grim reaper
deep fryer+human,fry cook
deer+air,reindeer
deer+antler,moose
deer+blade,antler
deer+christmas tree,reindeer
deer+cold,moose
deer+insect,tick
deer+magic,reindeer
deer+meat,venison
deer+nice,reindeer
deer+santa,reindeer
deer+snow,moose
deer+weapon,venison
demigod+energy,god
demon+big,devil
demon+dwarf,goblin
demon+earth,hell
demon+heaven,angel
demon+house,hell
demon+immortality,devil
demon+nice,angel
demon+opposite,angel
demon+plastic,mask
demon+small,goblin
dentist+glue,toothpaste
dentist+stick,toothbrush
desert+animal,camel
desert+big,dune
desert+bird,vulture
desert+brick,pyramid
desert+desert,dune
desert+farmer,cowboy
desert+fertilizer,cactus
desert+flood,ocean
desert+grave,pyramid
desert+hill,pyramid
desert+horse,camel
desert+human,cowboy
desert+hurricane,sandstorm
desert+ice,antarctica
desert+lake,oasis
desert+mountain,pyramid
desert+ocean,beach
desert+palm tree,cactus
desert+plant,cactus
desert+pond,oasis
desert+puddle,oasis
desert+rabbit,kangaroo
desert+rain,oasis
desert+river,oasis
desert+sea,beach
desert+seed,cactus
desert+snow,antarctica
desert+water,oasis
desert+wind,sandstorm
devil+earth,hell
devil+heaven,god
devil+house,hell
devil+opposite,god
devil+plastic,mask
devil+small,demon
devil+water,lava
devolution+animal,dinosaur
devolution+egg,dinosaur
devolution+human,monkey
devolution+opposite,evolution
diamond+gold,ring
diamond+metal,ring
diamond+steel,ring
diamond+tool,carbon
dictionary+big,encyclopedia
dictionary+dictionary,encyclopedia
dictionary+house,library
dictionary+machine,computer
dictionary+metal,computer
dictionary+small,book
dictionary+wood,bookshelf
digger+bomb,sapper
dimension+glasses,3d glasses
dimension+machine,time machine
dinosaur+air,dragon
dinosaur+big,t-rex
dinosaur+blood,t-rex
dinosaur+bone,fossil
dinosaur+dinosaur,egg
dinosaur+evil,t-rex
dinosaur+evolution,bird
dinosaur+fire,dragon
dinosaur+fireball,dragon
dinosaur+fish,megalodon
dinosaur+forest,bear
dinosaur+god,chinese dragon
dinosaur+meat,t-rex
dinosaur+skeleton,fossil
dinosaur+small,lizard
dinosaur+time,fossil
dinosaur+water,plesiosauria
dish+machine,dish washer
dish+metal,dish washer
dish+washing machine,dish washer
dna+blade,rna
dna+dna,cell
dna+machine,cloner
dna+scissors,rna
dna+small,rna
dna+swamp,bacteria
doctor+ambulance,paramedic
doctor+car,ambulance
doctor+fruit,apple
doctor+hand,glove
doctor+house,hospital
doctor+latex,glove
doctor+mask,medical mask
doctor+paper,medical mask
doctor+plastic,medical mask
doctor+rubber,glove
doctor+tooth,dentist
doctor+truck,ambulance
doctor+wall,hospital
doctor+wool,medical mask
dodo+devolution,terror bird
dodo+dinosaur,terror bird
dodo+human,fossil
dodo+hunter,fossil
dodo+spear,fossil
dog+animal,wolf
dog+big,great dane
dog+blade,blood
dog+bone,toy
dog+box,litter box
dog+bull,bulldog
dog+cheetah,civet
dog+chicken,fox
dog+clothing,collar
dog+devolution,wolf
dog+doll,poodle
dog+eagle,griffon
dog+evil,werewolf
dog+field,prairie dog
dog+fire hydrant,dalmatian
dog+fire station,dalmatian
dog+firetruck,dalmatian
dog+fish,dogfish
dog+glasses,guide dog
dog+grass,prairie dog
dog+griffon,hyena
dog+hamster,pug
dog+hole,prairie dog
dog+hotdog,dachshund
dog+house,doghouse
dog+ice,seal
dog+insect,flea
dog+lake,seal
dog+mexico,chihuahua
dog+moon,wolf
dog+nose,pug
dog+opposite,cat
dog+rabbit,fox
dog+sand,fox
dog+sandbox,litter box
dog+scissors,hair
dog+sheep,sheepdog
dog+small,chihuahua
dog+snow,husky
dog+tool,leash
dog+toy,bone
dog+water,dog bowl
dog+white,poodle
doll+box,nesting doll
doll+ghost,voodoo doll
doll+human,pinocchio
doll+life,pinocchio
doll+magic,voodoo doll
doll+needle,voodoo doll
doll+small,nesting doll
doll+story,pinocchio
doll+wood,pinocchio
dolphin+whale,beluga
donkey+horse,mule
door+angel,heaven
door+god,heaven
door+metal,lock
door+school,locker
door+tool,key
double rainbow+bird,parrot
double rainbow+glass,prism
double rainbow+life,unicorn
double rainbow+wax,crayon
dough+alcohol,beer
dough+banana,banana bread
dough+berry,pie
dough+blade,muffin
dough+candle,cake
dough+cheese,pizza
dough+chocolate,cookie dough
dough+cookie,cookie dough
dough+crab,dumpling
dough+egg,cake
dough+fire,bread
dough+fried egg,eggroll
dough+frosting,cake
dough+fruit,pie
dough+heat,bread
dough+knife,muffin
dough+milk,batter
dough+oil,donut
dough+pressure,taco shell
dough+sugar,cookie dough
dough+sword,muffin
dough+tomato,pizza
dough+vegetable,dumpling
dough+yeast,bread
dove+baby,cupid
dove+dinosaur,dodo
dove+human,angel
down quark+down quark,electron
down quark+opposite,up quark
dragon+dinosaur,pterodactyl
dragon+dragon,egg
dragon+fire,phoenix
dragon+house,castle
dragon+human,ash
dragon+immortality,chinese dragon
dragon+nice,chinese dragon
dragon+orange,phoenix
dragonfly+color,butterfly
drug+cat,catnip
drug+chewing tobacco,tobacco
drug+cigar,tobacco
drug+cigarette,tobacco
drug+dust,cocaine
drug+electricity,e-cig
drug+human,death
drug+machine,e-cig
drug+metal,e-cig
drug+mouth,chewing tobacco
drug+paper,cigarette
drug+plant,marijuana
drug+sickness,pill
drug+steam,e-cig
drug+sugar,cocaine
drug+tobacco,marijuana
drum+energy,music
drum+human,musician
drum+stick,drumstick
dry ice+water,carbonated water
drywall+brick,house
drywall+concrete,house
drywall+drywall,house
drywall+wall,house
drywall+wood,house
duck+animal,platypus
duck+bathtub,rubber duck
duck+beaver,platypus
duck+boat,plane
duck+canada,goose
duck+car,plane
duck+chicken,goose
duck+cold,goose
duck+duck,egg
duck+ice,goose
duck+machine,plane
duck+meat,duck meat
duck+metal,plane
duck+plastic,rubber duck
duck+rubber,rubber duck
duck+sailboat,plane
duck+scissors,feather
duck+ship,plane
duck+steam engine,plane
duck+steamboat,plane
duck+steel,plane
duck+toy,rubber duck
duck+train,plane
duck+truck,plane
dune+animal,camel
dune+big,continent
dune+bird,vulture
dune+brick,pyramid
dune+dune,continent
dune+fertilizer,cactus
dune+grave,pyramid
dune+hill,pyramid
dune+horse,camel
dune+mountain,pyramid
dune+ocean,planet
dune+seed,cactus
dust+air,pollution
dust+bird,vulture
dust+clay,concrete
dust+electricity,vacuum
dust+energy,magic
dust+fire,ash
dust+human,allergy
dust+machine,vacuum
dust+ocean,pollution
dust+planet,mars
dust+sickness,allergy
dust+smoke,ash
dust+stone,pebble
dust+water,pollution
dwarf planet+small,moon
dwarf+evil,goblin
dwarf+weapon,hammer
e-cig+human,cancer
eagle+cheetah,falcon
eagle+desert,vulture
eagle+dune,vulture
eagle+eagle,egg
eagle+forest,hawk
eagle+machine,plane
eagle+metal,plane
eagle+sand,vulture
eagle+scissors,bald eagle
eagle+steel,plane
eagle+stone,falcon
ear+big,elf
ear+ear,head
ear+energy,sound
ear+insect,earwig
ear+machine,hearing aid
ear+music,headphones
ear+opposite,eye
ear+speaker,hearing aid
ear+tool,hearing aid
ear+water,earwax
ear+wire,hearing aid
ear+worm,earwig
earbuds+big,headphones
earmuffs+metal,headphones
earmuffs+music,headphones
earth+air,dust
earth+algae,mushroom
earth+bicycle,dirt bike
earth+bird,ostrich
earth+cave,gem
earth+cloud,fog
earth+coffin,grave
earth+dust,soil
earth+earth,pressure
earth+energy,earthquake
earth+evil,earthquake
earth+flood,mud
earth+heat,lava
earth+insect,worm
earth+lava,volcano
earth+life,seed
earth+machine,drill
earth+map,globe
earth+miner,hole
earth+mud,soil
earth+ocean,island
earth+peat,coal
earth+pickaxe,hole
earth+pig,boar
earth+plankton,worm
earth+poison,radiation
earth+pollen,flower
earth+rain,grass
earth+road,asphalt
earth+shovel,hole
earth+smoke,ash
earth+snow,snowball
earth+space,planet
earth+sword,hammer
earth+tsunami,mud
earth+wave,earthquake
earth+wood,grape
earthquake+bird,feather
earthquake+city,ruins
earthquake+continent,ravine
earthquake+country,death
earthquake+earth,hill
earthquake+earthquake,ravine
earthquake+hill,landslide
earthquake+human,death
earthquake+lake,flood
earthquake+pond,flood
earthquake+river,flood
earthquake+sea,tsunami
earthquake+stone,pebble
earthquake+town,ruins
earthquake+village,ruins
earwax+insect,earwig
earwax+worm,earwig
easter bunny+egg,easter egg
easter egg+basket,easter basket
ebook+house,library
eclipse+glasses,eclipse glasses
eclipse+sunglasses,eclipse glasses
egg+air,bird
egg+alarm clock,egg timer
egg+alcohol,eggnog
egg+basket,easter basket
egg+beach,turtle
egg+big,ostrich
egg+box,egg carton
egg+clock,egg timer
egg+color,easter egg
egg+cup,eggnog
egg+double rainbow,parrot
egg+earth,insect
egg+evil,cockatrice
egg+fire,fried egg
egg+hay,nest
egg+heat,fried egg
egg+heater,fried egg
egg+hourglass,egg timer
egg+house,nest
egg+life,chicken
egg+microwave,fried egg
egg+milk,custard
egg+mirror,chameleon
egg+oil,mayonnaise
egg+oven,fried egg
egg+paint,easter egg
egg+pressure,scrambled egg
egg+puddle,mosquito
egg+rainbow,parrot
egg+river,fish
egg+sand,turtle
egg+small,tadpole
egg+toaster,fried egg
egg+tool,scrambled egg
egg+triple rainbow,parrot
egg+vinegar,mayonnaise
egg+water,fish
egypt+animal,cat
egypt+cat,sphinx
egypt+grave,pyramid
egypt+house,pyramid
egypt+lion,sphinx
egypt+statue,sphinx
eiffel tower+country,france
elderly+baby,family
elderly+big,corpse
elderly+blade,blood
elderly+child,family
elderly+death,corpse
elderly+house,senior center
elderly+human,family
elderly+sickness,death
elderly+small,human
elderly+stick,cane
elderly+teenager,family
elderly+time,corpse
electric guitar+energy,music
electric guitar+human,musician
electricity+acid,battery
electricity+axe,chainsaw
electricity+bird,thunderbird
electricity+book,ebook
electricity+broomstick,vacuum
electricity+cigar,e cig
electricity+cigarette,e-cig
electricity+doctor,defibrillator
electricity+fish,eel
electricity+house,power plant
electricity+metal,energy
electricity+needle,sewing machine
electricity+salt,chlorine
electron+electron,magnet
electron+human,scientist
electron+metal,electricity
electron+neutron,atom
electron+small,down quark
element+air,oxygen
element+animal,carbon
element+balloon,helium
element+battery,lithium
element+bleach,chlorine
element+blood,oxygen
element+bone,calcium
element+camera,magnesium
element+can,tin
element+car,aluminum
element+carbon dioxide,carbon
element+carbon monoxide,carbon
element+cereal,potassium
element+charcoal,carbon
element+clay,silicon
element+coal,carbon
element+diamond,carbon
element+dna,nitrogen
element+dry ice,carbon
element+earth,silicon
element+emerald,beryllium
element+fertilizer,nitrogen
element+fire,oxygen
element+firework,magnesium
element+flare,magnesium
element+flower,phosphorus
element+fossil,calcium
element+glass,silicon
element+grass,phosphorus
element+gunpowder,sulfur
element+hydrocarbon,carbon
element+knowledge,boron
element+laptop,magnesium
element+laser,neon
element+leaf,phosphorus
element+life,carbon
element+light,neon
element+match,phosphorus
element+meat,carbon
element+medicine,boron
element+milk,potassium
element+obsidian,silicon
element+oil,carbon
element+paper,carbon
element+pipe,copper
element+plant,phosphorus
element+plastic,carbon
element+pool,chlorine
element+quartz,silicon
element+rust,oxygen
element+salt,sodium
element+sand,silicon
element+sandstone,silicon
element+skeleton,calcium
element+skull,calcium
element+small,hydrogen
element+soap,boron
element+sparkler,magnesium
element+star,hydrogen
element+steam,hydrogen
element+steel,iron
element+suitcase,magnesium
element+sushi,iodine
element+tnt,nitrogen
element+toothbrush,fluorine
element+toothpaste,fluorine
element+tree,carbon
element+vegetable,potassium
element+wind,oxygen
element+wire,copper
element+wood,carbon
element+wool,carbon
element+yellow,sulfur
elephant+blade,tusk
elephant+brown,mammoth
elephant+devolution,mammoth
elephant+dinosaur,mammoth
elephant+elephant,rhinoceros
elephant+fish,whale
elephant+hair,mammoth
elephant+hunter,tusk
elephant+knife,tusk
elephant+tool,ivory
elephant+weapon,tusk
elf+elf,baby
elf+metal,mithril
elf+weapon,bow
email+cellphone,text
email+smartphone,text
embryo+big,fetus
embryo+blade,blood
encyclopedia+machine,computer
encyclopedia+metal,computer
encyclopedia+small,dictionary
energy+air,wave
energy+ball,exercise ball
energy+beach,wave
energy+bird,eagle
energy+darkness,antimatter
energy+death,ghost
